scene_id,width,height,eval_width,eval_height,changed_pixels_ground_truth,changed_pixels_prediction,predicted_change_ratio,ground_truth_change_ratio,precision,recall,f1,iou,tp,fp,fn,tn,latency_ms
test_1,1024,1024,256,256,829,796,0.012146,0.01265,0.8781,0.8432,0.8603,0.7549,699,97,130,64610,37.43
test_10,1024,1024,256,256,6391,7161,0.109268,0.097519,0.7879,0.8828,0.8326,0.7133,5642,1519,749,57626,50.59
test_100,1024,1024,256,256,7458,6598,0.100677,0.1138,0.8985,0.7949,0.8435,0.7293,5928,670,1530,57408,31.31
test_101,1024,1024,256,256,3075,1333,0.02034,0.046921,0.9595,0.4159,0.5803,0.4088,1279,54,1796,62407,29.38
test_102,1024,1024,256,256,6578,5769,0.088028,0.100372,0.9256,0.8118,0.865,0.7621,5340,429,1238,58529,29.54
test_103,1024,1024,256,256,1144,352,0.005371,0.017456,0.7727,0.2378,0.3636,0.2222,272,80,872,64312,29.61
test_104,1024,1024,256,256,1192,952,0.014526,0.018188,0.9338,0.7458,0.8293,0.7084,889,63,303,64281,29.57
test_105,1024,1024,256,256,3315,3272,0.049927,0.050583,0.8276,0.8169,0.8222,0.6981,2708,564,607,61657,30.14
test_106,1024,1024,256,256,1520,1339,0.020432,0.023193,0.8342,0.7349,0.7814,0.6412,1117,222,403,63794,29.98
test_107,1024,1024,256,256,153,140,0.002136,0.002335,0.3071,0.281,0.2935,0.172,43,97,110,65286,29.61
test_108,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,29.33
test_109,1024,1024,256,256,300,229,0.003494,0.004578,0.9782,0.7467,0.8469,0.7344,224,5,76,65231,29.54
test_11,1024,1024,256,256,704,694,0.01059,0.010742,0.8055,0.794,0.7997,0.6663,559,135,145,64697,29.4
test_110,1024,1024,256,256,546,366,0.005585,0.008331,0.8798,0.5897,0.7061,0.5458,322,44,224,64946,29.4
test_111,1024,1024,256,256,1911,1440,0.021973,0.02916,0.8438,0.6358,0.7252,0.5688,1215,225,696,63400,29.65
test_112,1024,1024,256,256,569,325,0.004959,0.008682,0.72,0.4112,0.5235,0.3545,234,91,335,64876,29.52
test_113,1024,1024,256,256,3490,3293,0.050247,0.053253,0.744,0.702,0.7224,0.5654,2450,843,1040,61203,29.71
test_114,1024,1024,256,256,2153,1210,0.018463,0.032852,0.8446,0.4747,0.6078,0.4366,1022,188,1131,63195,29.47
test_115,1024,1024,256,256,11285,10832,0.165283,0.172195,0.9117,0.8751,0.8931,0.8068,9876,956,1409,53295,30.9
test_116,1024,1024,256,256,787,728,0.011108,0.012009,0.864,0.7992,0.8304,0.7099,629,99,158,64650,29.27
test_117,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,29.83
test_118,1024,1024,256,256,9331,9445,0.144119,0.14238,0.8536,0.864,0.8588,0.7525,8062,1383,1269,54822,29.8
test_119,1024,1024,256,256,4910,4814,0.073456,0.074921,0.8448,0.8283,0.8365,0.7189,4067,747,843,59879,29.45
test_12,1024,1024,256,256,6538,6651,0.101486,0.099762,0.7806,0.7941,0.7873,0.6492,5192,1459,1346,57539,29.88
test_120,1024,1024,256,256,7911,7656,0.116821,0.120712,0.8854,0.8569,0.8709,0.7714,6779,877,1132,56748,29.67
test_121,1024,1024,256,256,1632,1250,0.019073,0.024902,0.9136,0.6998,0.7925,0.6563,1142,108,490,63796,29.46
test_122,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,29.41
test_123,1024,1024,256,256,243,295,0.004501,0.003708,0.7356,0.893,0.8067,0.676,217,78,26,65215,29.46
test_124,1024,1024,256,256,1351,1350,0.020599,0.020615,0.8896,0.889,0.8893,0.8007,1201,149,150,64036,29.39
test_125,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,29.54
test_126,1024,1024,256,256,2928,2639,0.040268,0.044678,0.8715,0.7855,0.8263,0.704,2300,339,628,62269,29.29
test_127,1024,1024,256,256,1550,1422,0.021698,0.023651,0.884,0.811,0.8459,0.7329,1257,165,293,63821,29.82
test_128,1024,1024,256,256,33,0,0.0,0.000504,0.0,0.0,0.0,0.0,0,0,33,65503,29.32
test_13,1024,1024,256,256,6431,6287,0.095932,0.098129,0.7835,0.766,0.7747,0.6322,4926,1361,1505,57744,29.77
test_14,1024,1024,256,256,7099,7420,0.11322,0.108322,0.8468,0.8851,0.8655,0.7629,6283,1137,816,57300,29.88
test_15,1024,1024,256,256,817,792,0.012085,0.012466,0.7424,0.7197,0.7309,0.5759,588,204,229,64515,29.69
test_16,1024,1024,256,256,3723,3602,0.054962,0.056808,0.9747,0.9431,0.9586,0.9206,3511,91,212,61722,29.56
test_17,1024,1024,256,256,2250,2150,0.032806,0.034332,0.8698,0.8311,0.85,0.7391,1870,280,380,63006,29.96
test_18,1024,1024,256,256,4355,3951,0.060287,0.066452,0.7049,0.6395,0.6706,0.5044,2785,1166,1570,60015,29.74
test_19,1024,1024,256,256,3423,2959,0.045151,0.052231,0.7489,0.6474,0.6945,0.5319,2216,743,1207,61370,29.33
test_2,1024,1024,256,256,3196,3068,0.046814,0.048767,0.8908,0.8551,0.8726,0.774,2733,335,463,62005,29.54
test_20,1024,1024,256,256,13458,11386,0.173737,0.205353,0.8416,0.7121,0.7715,0.6279,9583,1803,3875,50275,29.78
test_21,1024,1024,256,256,9849,6830,0.104218,0.150284,0.8512,0.5903,0.6972,0.5351,5814,1016,4035,54671,29.44
test_22,1024,1024,256,256,3192,2177,0.033218,0.048706,0.8241,0.562,0.6683,0.5018,1794,383,1398,61961,29.34
test_23,1024,1024,256,256,4036,1985,0.030289,0.061584,0.9285,0.4566,0.6122,0.4411,1843,142,2193,61358,29.26
test_24,1024,1024,256,256,3677,3750,0.05722,0.056107,0.6619,0.675,0.6684,0.5019,2482,1268,1195,60591,29.3
test_25,1024,1024,256,256,2767,1848,0.028198,0.042221,0.7662,0.5117,0.6137,0.4426,1416,432,1351,62337,29.27
test_26,1024,1024,256,256,2054,1321,0.020157,0.031342,0.8062,0.5185,0.6311,0.461,1065,256,989,63226,29.78
test_27,1024,1024,256,256,4225,2608,0.039795,0.064468,0.8229,0.5079,0.6281,0.4579,2146,462,2079,60849,29.51
test_28,1024,1024,256,256,6432,5599,0.085434,0.098145,0.8105,0.7055,0.7544,0.6056,4538,1061,1894,58043,29.46
test_29,1024,1024,256,256,8945,8905,0.13588,0.13649,0.7937,0.7902,0.7919,0.6555,7068,1837,1877,54754,29.41
test_3,1024,1024,256,256,459,390,0.005951,0.007004,0.8718,0.7407,0.8009,0.668,340,50,119,65027,29.64
test_30,1024,1024,256,256,3952,3404,0.051941,0.060303,0.7944,0.6842,0.7352,0.5813,2704,700,1248,60884,29.53
test_31,1024,1024,256,256,5022,4126,0.062958,0.07663,0.7969,0.6547,0.7188,0.5611,3288,838,1734,59676,29.44
test_32,1024,1024,256,256,999,1063,0.01622,0.015244,0.6519,0.6937,0.6722,0.5062,693,370,306,64167,29.71
test_33,1024,1024,256,256,4521,5616,0.085693,0.068985,0.62,0.7702,0.687,0.5232,3482,2134,1039,58881,29.96
test_34,1024,1024,256,256,8783,9144,0.139526,0.134018,0.7964,0.8291,0.8124,0.6841,7282,1862,1501,54891,29.69
test_35,1024,1024,256,256,6385,7287,0.111191,0.097427,0.7935,0.9056,0.8458,0.7328,5782,1505,603,57646,29.52
test_36,1024,1024,256,256,1035,1221,0.018631,0.015793,0.7805,0.9208,0.8449,0.7314,953,268,82,64233,29.45
test_37,1024,1024,256,256,4239,4202,0.064117,0.064682,0.7163,0.7101,0.7132,0.5542,3010,1192,1229,60105,29.57
test_38,1024,1024,256,256,8653,10131,0.154587,0.132034,0.7681,0.8993,0.8286,0.7073,7782,2349,871,54534,29.89
test_39,1024,1024,256,256,3279,2287,0.034897,0.050034,0.7766,0.5416,0.6382,0.4686,1776,511,1503,61746,29.71
test_4,1024,1024,256,256,752,667,0.010178,0.011475,0.8981,0.7965,0.8443,0.7305,599,68,153,64716,29.52
test_40,1024,1024,256,256,1545,1380,0.021057,0.023575,0.892,0.7968,0.8417,0.7267,1231,149,314,63842,29.62
test_41,1024,1024,256,256,8568,8311,0.126816,0.130737,0.8515,0.826,0.8386,0.722,7077,1234,1491,55734,29.31
test_42,1024,1024,256,256,3407,3350,0.051117,0.051987,0.8582,0.8439,0.851,0.7406,2875,475,532,61654,29.53
test_43,1024,1024,256,256,2093,1101,0.0168,0.031937,0.8174,0.43,0.5636,0.3923,900,201,1193,63242,29.71
test_44,1024,1024,256,256,1919,1933,0.029495,0.029282,0.8086,0.8145,0.8115,0.6828,1563,370,356,63247,30.35
test_45,1024,1024,256,256,16467,15780,0.240784,0.251266,0.7876,0.7548,0.7709,0.6272,12429,3351,4038,45718,33.46
test_46,1024,1024,256,256,7520,6416,0.0979,0.114746,0.8532,0.7279,0.7856,0.6469,5474,942,2046,57074,29.83
test_47,1024,1024,256,256,4900,4915,0.074997,0.074768,0.8442,0.8467,0.8454,0.7323,4149,766,751,59870,29.59
test_48,1024,1024,256,256,525,338,0.005157,0.008011,0.8047,0.5181,0.6304,0.4602,272,66,253,64945,30.21
test_49,1024,1024,256,256,7923,7554,0.115265,0.120895,0.8856,0.8444,0.8645,0.7614,6690,864,1233,56749,29.83
test_5,1024,1024,256,256,785,750,0.011444,0.011978,0.892,0.8522,0.8717,0.7725,669,81,116,64670,29.83
test_50,1024,1024,256,256,4010,3978,0.060699,0.061188,0.8663,0.8594,0.8628,0.7587,3446,532,564,60994,29.78
test_51,1024,1024,256,256,433,425,0.006485,0.006607,0.8376,0.8222,0.8298,0.7092,356,69,77,65034,29.85
test_52,1024,1024,256,256,2638,2401,0.036636,0.040253,0.8917,0.8116,0.8498,0.7388,2141,260,497,62638,29.57
test_53,1024,1024,256,256,727,634,0.009674,0.011093,0.9006,0.7854,0.8391,0.7228,571,63,156,64746,29.7
test_54,1024,1024,256,256,1940,1413,0.021561,0.029602,0.8726,0.6356,0.7355,0.5816,1233,180,707,63416,29.63
test_55,1024,1024,256,256,7219,7195,0.109787,0.110153,0.868,0.8651,0.8665,0.7645,6245,950,974,57367,29.47
test_56,1024,1024,256,256,486,378,0.005768,0.007416,0.9048,0.7037,0.7917,0.6552,342,36,144,65014,29.53
test_57,1024,1024,256,256,1191,1025,0.01564,0.018173,0.8449,0.7271,0.7816,0.6415,866,159,325,64186,29.48
test_58,1024,1024,256,256,32,0,0.0,0.000488,0.0,0.0,0.0,0.0,0,0,32,65504,29.56
test_59,1024,1024,256,256,16,0,0.0,0.000244,0.0,0.0,0.0,0.0,0,0,16,65520,29.52
test_6,1024,1024,256,256,159,61,0.000931,0.002426,0.0,0.0,0.0,0.0,0,61,159,65316,30.69
test_60,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,30.46
test_61,1024,1024,256,256,9,0,0.0,0.000137,0.0,0.0,0.0,0.0,0,0,9,65527,30.19
test_62,1024,1024,256,256,0,250,0.003815,0.0,0.0,1.0,0.0,0.0,0,250,0,65286,34.57
test_63,1024,1024,256,256,15,0,0.0,0.000229,0.0,0.0,0.0,0.0,0,0,15,65521,32.67
test_64,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,37.32
test_65,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,30.43
test_66,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,30.61
test_67,1024,1024,256,256,3299,3494,0.053314,0.050339,0.8094,0.8572,0.8326,0.7132,2828,666,471,61571,30.08
test_68,1024,1024,256,256,5827,5537,0.084488,0.088913,0.8887,0.8445,0.8661,0.7638,4921,616,906,59093,30.13
test_69,1024,1024,256,256,8486,8410,0.128326,0.129486,0.8838,0.8759,0.8799,0.7855,7433,977,1053,56073,30.36
test_7,1024,1024,256,256,7110,7928,0.120972,0.10849,0.7993,0.8913,0.8428,0.7283,6337,1591,773,56835,30.05
test_70,1024,1024,256,256,11641,11452,0.174744,0.177628,0.8621,0.8481,0.8551,0.7468,9873,1579,1768,52316,30.63
test_71,1024,1024,256,256,4616,3740,0.057068,0.070435,0.9473,0.7675,0.848,0.7361,3543,197,1073,60723,30.88
test_72,1024,1024,256,256,6116,6199,0.094589,0.093323,0.8384,0.8497,0.844,0.7301,5197,1002,919,58418,32.12
test_73,1024,1024,256,256,2660,2572,0.039246,0.040588,0.869,0.8402,0.8544,0.7457,2235,337,425,62539,33.66
test_74,1024,1024,256,256,6006,6189,0.094437,0.091644,0.836,0.8615,0.8485,0.7369,5174,1015,832,58515,34.08
test_75,1024,1024,256,256,4783,3463,0.052841,0.072983,0.9001,0.6517,0.756,0.6077,3117,346,1666,60407,53.71
test_76,1024,1024,256,256,853,425,0.006485,0.013016,0.68,0.3388,0.4523,0.2922,289,136,564,64547,33.65
test_77,1024,1024,256,256,9782,7589,0.115799,0.149261,0.8284,0.6427,0.7239,0.5672,6287,1302,3495,54452,29.69
test_78,1024,1024,256,256,1788,1105,0.016861,0.027283,0.8606,0.5319,0.6574,0.4897,951,154,837,63594,30.03
test_79,1024,1024,256,256,1806,457,0.006973,0.027557,0.9584,0.2425,0.3871,0.24,438,19,1368,63711,31.24
test_8,1024,1024,256,256,5327,5400,0.082397,0.081284,0.7989,0.8098,0.8043,0.6727,4314,1086,1013,59123,29.78
test_80,1024,1024,256,256,13088,10574,0.161346,0.199707,0.8474,0.6846,0.7573,0.6094,8960,1614,4128,50834,29.97
test_81,1024,1024,256,256,569,145,0.002213,0.008682,0.8759,0.2232,0.3557,0.2164,127,18,442,64949,29.83
test_82,1024,1024,256,256,3344,829,0.01265,0.051025,0.6912,0.1714,0.2746,0.1592,573,256,2771,61936,29.78
test_83,1024,1024,256,256,3146,2430,0.037079,0.048004,0.8407,0.6494,0.7328,0.5783,2043,387,1103,62003,30.54
test_84,1024,1024,256,256,3146,2468,0.037659,0.048004,0.7565,0.5935,0.6651,0.4983,1867,601,1279,61789,29.78
test_85,1024,1024,256,256,3048,2874,0.043854,0.046509,0.8563,0.8074,0.8311,0.7111,2461,413,587,62075,29.95
test_86,1024,1024,256,256,140,203,0.003098,0.002136,0.2315,0.3357,0.2741,0.1588,47,156,93,65240,29.52
test_87,1024,1024,256,256,6943,5620,0.085754,0.105942,0.9158,0.7413,0.8194,0.694,5147,473,1796,58120,29.69
test_88,1024,1024,256,256,33,0,0.0,0.000504,0.0,0.0,0.0,0.0,0,0,33,65503,29.71
test_89,1024,1024,256,256,3603,3493,0.053299,0.054977,0.937,0.9084,0.9225,0.8561,3273,220,330,61713,29.94
test_9,1024,1024,256,256,555,519,0.007919,0.008469,0.7784,0.7279,0.7523,0.603,404,115,151,64866,30.02
test_90,1024,1024,256,256,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,65536,29.69
test_91,1024,1024,256,256,593,162,0.002472,0.009048,0.8086,0.2209,0.347,0.2099,131,31,462,64912,29.8
test_92,1024,1024,256,256,6186,6063,0.092514,0.094391,0.8982,0.8804,0.8892,0.8005,5446,617,740,58733,29.37
test_93,1024,1024,256,256,287,270,0.00412,0.004379,0.8815,0.8293,0.8546,0.7461,238,32,49,65217,30.44
test_94,1024,1024,256,256,37,0,0.0,0.000565,0.0,0.0,0.0,0.0,0,0,37,65499,30.0
test_95,1024,1024,256,256,7,0,0.0,0.000107,0.0,0.0,0.0,0.0,0,0,7,65529,29.73
test_96,1024,1024,256,256,91,49,0.000748,0.001389,0.6939,0.3736,0.4857,0.3208,34,15,57,65430,31.16
test_97,1024,1024,256,256,84,20,0.000305,0.001282,1.0,0.2381,0.3846,0.2381,20,0,64,65452,31.46
test_98,1024,1024,256,256,34,0,0.0,0.000519,0.0,0.0,0.0,0.0,0,0,34,65502,30.23
test_99,1024,1024,256,256,18,0,0.0,0.000275,0.0,0.0,0.0,0.0,0,0,18,65518,32.14
