Scene_ID,GT_Change_Pct,Pred_Change_Pct,TP,FP,FN,TN,Precision,Recall,F1,IoU,OA
test_1,1.2578,1.2238,11177,1655,2012,1033732,0.8710,0.8474,0.8591,0.7530,0.9965
test_10,9.7017,11.0825,91451,24757,10279,922089,0.7870,0.8990,0.8392,0.7230,0.9666
test_100,11.3338,10.3470,95737,12759,23106,916974,0.8824,0.8056,0.8422,0.7275,0.9658
test_101,4.7089,2.1484,21489,1039,27887,998161,0.9539,0.4352,0.5977,0.4262,0.9724
test_102,10.0603,8.8837,85593,7559,19897,935527,0.9189,0.8114,0.8618,0.7571,0.9738
test_103,1.7365,0.5844,4559,1569,13649,1028799,0.7440,0.2504,0.3747,0.2305,0.9855
test_104,1.8167,1.4618,14204,1124,4845,1028403,0.9267,0.7457,0.8264,0.7041,0.9943
test_105,5.0435,5.1041,43224,10296,9661,985395,0.8076,0.8173,0.8124,0.6841,0.9810
test_106,2.3060,2.1118,17980,4164,6200,1020232,0.8120,0.7436,0.7763,0.6343,0.9901
test_107,0.2192,0.2258,664,1704,1634,1044574,0.2804,0.2889,0.2846,0.1659,0.9968
test_108,0.0000,0.0000,0,0,0,1048576,0.0000,0.0000,0.0000,0.0000,1.0000
test_109,0.4474,0.3510,3534,146,1157,1043739,0.9603,0.7534,0.8443,0.7306,0.9988
test_11,1.0715,1.0773,9058,2238,2177,1035103,0.8019,0.8062,0.8040,0.6723,0.9958
test_110,0.8380,0.5737,5256,760,3531,1039029,0.8737,0.5982,0.7101,0.5505,0.9959
test_111,2.9646,2.2583,19591,4089,11495,1013401,0.8273,0.6302,0.7154,0.5570,0.9851
test_112,0.8531,0.5188,3957,1483,4988,1038148,0.7274,0.4424,0.5502,0.3795,0.9938
test_113,5.3425,5.1712,39642,14582,16378,977974,0.7311,0.7076,0.7192,0.5615,0.9705
test_114,3.3178,1.9302,16967,3273,17823,1010513,0.8383,0.4877,0.6166,0.4458,0.9799
test_115,17.2442,16.7603,158036,17708,22783,850049,0.8992,0.8740,0.8864,0.7960,0.9614
test_116,1.2146,1.1215,10114,1646,2622,1034194,0.8600,0.7941,0.8258,0.7032,0.9959
test_117,0.0000,0.0000,0,0,0,1048576,0.0000,0.0000,0.0000,0.0000,1.0000
test_118,14.2560,14.6683,129102,24706,20383,874385,0.8394,0.8636,0.8513,0.7412,0.9570
test_119,7.4899,7.4951,65415,13177,13122,956862,0.8323,0.8329,0.8326,0.7132,0.9749
test_12,10.0185,10.3348,84418,23950,20634,919574,0.7790,0.8036,0.7911,0.6544,0.9575
test_120,12.1171,11.9308,109145,15959,17912,905560,0.8724,0.8590,0.8657,0.7632,0.9677
test_121,2.4827,1.9699,18344,2312,7689,1020231,0.8881,0.7046,0.7858,0.6472,0.9905
test_122,0.0000,0.0000,0,0,0,1048576,0.0000,0.0000,0.0000,0.0000,1.0000
test_123,0.3705,0.4562,3498,1286,387,1043405,0.7312,0.9004,0.8070,0.6765,0.9984
test_124,2.0639,2.0981,18962,3038,2680,1023896,0.8619,0.8762,0.8690,0.7683,0.9945
test_125,0.0000,0.0000,0,0,0,1048576,0.0000,0.0000,0.0000,0.0000,1.0000
test_126,4.4482,4.0985,36605,6371,10038,995562,0.8518,0.7848,0.8169,0.6905,0.9844
test_127,2.3586,2.2018,20018,3070,4714,1020774,0.8670,0.8094,0.8372,0.7200,0.9926
test_128,0.0506,0.0076,0,80,531,1047965,0.0000,0.0000,0.0000,0.0000,0.9994
test_13,9.7998,9.7870,80005,22619,22753,923199,0.7796,0.7786,0.7791,0.6381,0.9567
test_14,10.8234,11.4609,101405,18771,12087,916313,0.8438,0.8935,0.8679,0.7667,0.9706
test_15,1.2282,1.2344,9433,3511,3446,1032186,0.7288,0.7324,0.7306,0.5755,0.9934
test_16,5.6983,5.5084,56290,1470,3461,987355,0.9745,0.9421,0.9580,0.9195,0.9953
test_17,3.4440,3.3463,30496,4592,5617,1007871,0.8691,0.8445,0.8566,0.7492,0.9903
